13 鸡肉肠      2.50 2019 7 23
1 红烧牛肉面      4.50 2020 7 23
2 老坛酸菜牛肉      4.00 2019 7 24
9 奥利奥      8.00 2019 7 24
28 洁柔纸巾      0.50 2019 7 24
2 老坛酸菜牛肉      4.00 2019 7 24
5 肉松面包      5.50 2019 7 24
9 奥利奥      8.00 2019 7 26
3 卤香排骨面      4.00 2019 7 26
23 维他柠檬茶      6.00 2019 7 26
3 卤香排骨面      4.00 2019 7 26
1 红烧牛肉面      4.50 2019 7 26
1 红烧牛肉面      4.50 2019 7 26
1 红烧牛肉面      4.50 2019 7 26
1 红烧牛肉面      4.50 2019 7 26
1 红烧牛肉面      4.50 2019 7 26
1 红烧牛肉面      4.50 2019 7 26
1 红烧牛肉面      4.50 2019 7 26
1 红烧牛肉面      4.50 2019 7 26
1 红烧牛肉面      4.50 2019 7 27
2 老坛酸菜牛肉面      4.00 2019 7 27
1 红烧牛肉面      4.50 2019 7 27
2 老坛酸菜牛肉面      4.00 2019 7 27
2 老坛酸菜牛肉面      4.00 2019 7 27
16 AD钙奶      2.00 2019 7 28
