1 8 23 红烧牛肉面 4.50 2020 1 1 1 
1 10 11 老坛酸菜牛肉面 4.00 2020 1 1 2 
1 10 19 卤香排骨面 4.00 2020 1 1 3 
2 10 14 甜甜圈 3.00 2020 1 1 4 
2 10 3 肉松面包 5.50 2020 1 1 5 
2 10 0 红豆夹心面包 5.00 2020 1 1 6 
3 10 7 趣多多 12.00 2020 2 29 7 
3 10 8 米多奇 5.00 2020 3 31 8 
3 10 9 奥利奥 8.00 2020 4 30 9 
3 10 10 小熊饼 4.00 2020 1 31 10 
3 10 15 雀巢脆脆鲨 2.00 2020 3 1 11 
3 10 2 曲奇饼 7.00 2020 5 6 12 
4 10 7 鸡肉肠 2.50 2019 10 25 13 
4 10 8 猪肉肠 2.00 2019 10 30 14 
4 10 14 玉米肠 3.00 2019 10 8 15 
5 9 5 AD钙奶 2.00 2019 11 21 16 
5 10 1 核桃花生奶 4.50 2019 9 21 17 
5 10 4 安慕希 6.50 2019 9 21 18 
5 10 6 旺仔牛奶 5.00 2019 8 21 19 
6 10 15 冰红茶 3.00 2019 9 21 20 
6 10 18 可乐 3.00 2019 10 25 21 
6 10 20 农夫山泉 2.00 2019 11 21 22 
6 10 14 维他柠檬茶 6.00 2019 11 25 23 
6 10 10 佳得乐 4.00 2020 7 25 24 
7 10 3 杜蕾斯避孕套 90.00 2020 5 6 25 
7 10 9 冈本避孕套 50.00 2020 3 30 26 
8 10 7 维达纸巾 1.00 2020 6 7 27 
8 10 14 洁柔纸巾 0.50 2018 8 7 28 
